"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL730";"NITROGLYCERIN";"C01DA02|CHLORMETHINE OXIDE HYDROCHLORIDE|CORO-NITRO|DEPONIT 10|DEPONIT 5|DILUTED NITROGLYCERIN|GLONOINUM|GLYCERYL TRINITRATE|GLYCERYL TRINITRATE SOLUTION|GLYTRIN|GONITRO|Glyceryl Trinitrate|IMX-150|LENITRAL 7.5|MECHLORETHAMINE OXIDE HCL|MINITRAN|MINITRAN 10|MINITRAN 15|MINITRAN 5|MITOMEN|MUSTRON|NATIROSE|NITORA|NITRIDERM TTS|NITRO IV|NITRO-BID|NITRO-DUR|NITRO-MACK RET|NITROCINE|NITROCONTIN CONTINUS|NITROGLYCERIN|NITROGLYCERIN TABLETS|NITROL|NITROLINGUAL|NITROLINGUAL PUMPSPRAY|NITROMIN|NITROMIN HYDROCHLORIDE|NITROMIST|NITRONAL|NITROSTAT|Nitroglycerin|PERCUTOL|RECTIV|RECTOGESIC|SUSCARD BUCCAL|SUSTAC|TRANSDERM-NITRO|TRANSIDERM-NITRO 10|TRANSIDERM-NITRO 5|TRIDIL|TRINITRIN|TRINITRIN TABLETS|TRINITRINE|TRINTEK 10|TRINTEK 15|TRINTEK 5|Transderm-Nitro";"C01DA02";"4.0";"Luitpold Pharmaceuticals Inc|International Medication Systems Ltd|Rorer Pharmaceutical Corp Sub Rorer Group|Mylan Technologies Inc|Uspharma Ltd|Glenmark Pharmaceuticals Sa Switzerland|Dr Reddys Laboratories Inc|Lannett Co Inc|Baxter Healthcare Corp|American Regent Inc";"";"";"";"";"1981";"C01DA52 | C05AE01 | C01DA02";"C01DA - Organic nitrates | C05AE - Muscle relaxants | C01DA - Organic nitrates";"C01D - VASODILATORS USED IN CARDIAC DISEASES | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE | C01D - VASODILATORS USED IN CARDIAC DISEASES";"C01 - CARDIAC THERAPY | C05 - VASOPROTECTIVES | C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM";"Vasodilator (coronary)";"US-7872049-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"1";"1";"1";"Prescription Only";"O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]";"InChI=1S/C3H5N3O9/c7-4(8)13-1-3(15-6(11)12)2-14-5(9)10/h3H,1-2H2";"False";"0"
"CHEMBL492";"ETIDOCAINE";"ETIDOCAINA|ETIDOCAINE|Etidocaine|W-19053|W-19053 [AS HYDROCHLORIDE]";"W-19053|W-19053 [AS HYDROCHLORIDE]";"4.0";"Dentsply Pharmaceutical|Astrazeneca Lp";"'-caine'";"1973";"local anesthetics";"'-caine(-caine)'";"1976";"N01BB57 | N01BB07";"N01BB - Amides | N01BB - Amides";"N01B - ANESTHETICS, LOCAL | N01B - ANESTHETICS, LOCAL";"N01 - ANESTHETICS | N01 - ANESTHETICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"Anesthetic (local)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Discontinued";"CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C";"InChI=1S/C17H28N2O/c1-6-12-19(8-3)15(7-2)17(20)18-16-13(4)10-9-11-14(16)5/h9-11,15H,6-8,12H2,1-5H3,(H,18,20)";"False";"0"
"CHEMBL878";"METOLAZONE";"DIULO|METAZOLINE|METENIX|METOLAZONA|METOLAZONE|METOZALONE|MYKROX|NORMELAN|NSC-759581|OLDREN|SR 720-22|SR-720-22|XURET|ZAROXOLYN";"NSC-759581|SR 720-22|SR-720-22";"4.0";"Mylan Pharmaceuticals Inc|Innogenix Llc|Watson Laboratories Inc|Roxane Laboratories Inc|Ani Pharmaceuticals Inc|Alembic Pharmaceuticals Ltd|Rubicon Research Private Ltd|Ne Rx Pharma Llc|Renata Ltd|Bayshore Pharmaceuticals Llc";"";"1968";"";"";"1973";"C03BA08";"C03BA - Sulfonamides, plain";"C03B - LOW-CEILING DIURETICS, EXCL. THIAZIDES";"C03 - DIURETICS";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive; Diuretic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Prescription Only";"Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C";"InChI=1S/C16H16ClN3O3S/c1-9-5-3-4-6-14(9)20-10(2)19-13-8-12(17)15(24(18,22)23)7-11(13)16(20)21/h3-8,10,19H,1-2H3,(H2,18,22,23)";"False";"0"
"CHEMBL1236802";"XENON";"XENON|Xenon";"";"4.0";"Polarean Inc|Lantheus Medical Imaging Inc|General Electric Co|Mallinckrodt Inc|Curium Us Llc|Mallinckrodt Medical Inc|Ge Healthcare";"";"1971";"";"";"1982";"N01AX15";"N01AX - Other general anesthetics";"N01A - ANESTHETICS, GENERAL";"N01 - ANESTHETICS";"N - NERVOUS SYSTEM";"Diagnostic Aid; Radioactive Agent; Gas, Medicinal,Radioactive Agent";"US-10583205-B2";"9:Inorganic";"0";"1";"Achiral Molecule";"0";"0";"1";"1";"0";"Prescription Only";"[Xe]";"InChI=1S/Xe";"False";"0"
"CHEMBL1079604";"METAXALONE";"AHR-438|FLEXURA|METAXALONA|METAXALONE|NSC-170959|SKELAXIN|ZORANE";"AHR-438|NSC-170959";"4.0";"Actavis Laboratories Fl Inc|Mountain Llc|Lannett Co Inc|King Pharmaceuticals Research And Development Llc A Sub Of Pfizer Inc|Amneal Pharmaceuticals|Sciegen Pharmaceuticals Inc|Ingenus Pharmaceuticals Llc|Appco Pharma Llc|Primus Pharmaceuticals Inc|Sandoz Inc";"";"1962";"";"";"1962";"";"";"";"";"";"Relaxant (skeletal muscle)";"US-7122566-B1";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Prescription Only";"Cc1cc(C)cc(OCC2CNC(=O)O2)c1";"InChI=1S/C12H15NO3/c1-8-3-9(2)5-10(4-8)15-7-11-6-13-12(14)16-11/h3-5,11H,6-7H2,1-2H3,(H,13,14)";"False";"0"
"CHEMBL847";"OXAMNIQUINE";"NSC-352888|OXAMNIQUINA|OXAMNIQUINE|OXAMNIQUINUM|UK-4261|UK-4271|VANSIL";"NSC-352888|UK-4261|UK-4271";"4.0";"Pfizer Laboratories Div Pfizer Inc";"";"1975";"";"";"1980";"P02BA02";"P02BA - Quinoline derivatives and related substances";"P02B - ANTITREMATODALS";"P02 - ANTHELMINTICS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"Antischistosomal";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Discontinued";"CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1";"InChI=1S/C14H21N3O3/c1-9(2)15-7-12-4-3-10-5-11(8-18)14(17(19)20)6-13(10)16-12/h5-6,9,12,15-16,18H,3-4,7-8H2,1-2H3";"False";"0"
"CHEMBL1200436";"OXANDROLONE";"ANAVAR|LONAVAR|NSC-67068|OXANDRIN|OXANDROLONA|OXANDROLONE|OXANDROLONE CIII|PROVITAR|SC 11585|SC-11585|VASOROME";"NSC-67068|SC 11585|SC-11585";"4.0";"Par Pharmaceutical Inc|Gemini Laboratories Llc|Upsher Smith Laboratories Llc|Roxane Laboratories Inc|Sandoz Inc";"'-andr-; -olone'";"1962";"androgens; steroids (not prednisolone derivatives)";"'-andr-(-andr-); -olone(-olone)'";"1964";"A14AA08";"A14AA - Androstan derivatives";"A14A - ANABOLIC STEROIDS";"A14 - ANABOLIC AGENTS FOR SYSTEMIC USE";"A - ALIMENTARY TRACT AND METABOLISM";"Androgen";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O";"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3/t12-,13+,14-,15-,17-,18-,19-/m0/s1";"False";"0"
"CHEMBL460291";"LACIDIPINE";"3,3'-IMINOBISPROPYLAMINE|3,3'-IMINODIPROPYLAMINE|4-AZAHEPTAMETHYLENEDIAMINE|CALDINE|DIPROPYLAMINE, 3,3'-DIAMINO-|DIPROPYLENETRIAMINE|GR 43659X|GR-43659X|LACIDIPINE|LACIDIPINO|MOLAP|MOTENS|NSC-7773";"GR 43659X|GR-43659X|NSC-7773";"4.0";"";"'-dipine; -pine'";"1989";"phenylpyridine vasodilators; tricyclic compounds";"'-dipine(-dipine); -pine(-pine)'";"";"C08CA09";"C08CA - Dihydropyridine derivatives";"C08C - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS";"C08 - CALCIUM CHANNEL BLOCKERS";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C";"InChI=1S/C26H33NO6/c1-8-31-24(29)21-16(3)27-17(4)22(25(30)32-9-2)23(21)19-13-11-10-12-18(19)14-15-20(28)33-26(5,6)7/h10-15,23,27H,8-9H2,1-7H3/b15-14+";"False";"0"
"CHEMBL2107825";"TENOFOVIR ALAFENAMIDE";"GS-7340|GS-734003|TENOFOVIR ALAFENAMIDA|TENOFOVIR ALAFENAMIDE|VEMLIDY";"GS-7340|GS-734003";"4.0";"Gilead Sciences Inc|Lupin Ltd|Janssen Products Lp";"'-vir'";"2012";"antivirals";"'-vir(-vir)'";"2015";"J05AF13";"J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"US-7125879-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"1";"0";"0";"1";"Prescription Only";"CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1";"InChI=1S/C21H29N6O5P/c1-14(2)31-21(28)16(4)26-33(29,32-17-8-6-5-7-9-17)13-30-15(3)10-27-12-25-18-19(22)23-11-24-20(18)27/h5-9,11-12,14-16H,10,13H2,1-4H3,(H,26,29)(H2,22,23,24)/t15-,16+,33+/m1/s1";"False";"0"
"CHEMBL3707377";"SEGESTERONE ACETATE";"ELCOMETRINE|NESTORONE|SEGESTERONE ACETATE|ST-1435";"ST-1435";"4.0";"Mayne Pharma Llc";"'-gest-; -ster-; -terone'";"2015";"progestins; steroids (androgens, anabolics); antiandrogens";"'-gest-(-gest-); -ster-(-ster-); -terone(-terone)'";"2018";"";"";"";"";"";"";"US-10632066-B1";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O";"InChI=1S/C23H30O4/c1-13-11-21-20-7-5-16-12-17(26)6-8-18(16)19(20)9-10-22(21,4)23(13,14(2)24)27-15(3)25/h12,18-21H,1,5-11H2,2-4H3/t18-,19+,20+,21-,22-,23-/m0/s1";"False";"0"
