zinc_id,smiles
ZINC000001408068,O=C(O)c1cc(O)nc(O)n1
ZINC000003830381,CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C/CCCC(=O)O
ZINC000003830394,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1
ZINC000003830515,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1
ZINC000003815418,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
ZINC000003830611,C[C@@H]1C[C@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)C1
ZINC000003831511,CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
ZINC000003872805,Oc1ccc([C@H](O)CNCCCCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1O
ZINC000003873157,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c21
ZINC000885764928,Cc1cnc(C(=O)N[C@H]2CCCCCC=C[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1
ZINC000003831024,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)[C@@H](C)Cc1ccc(OC)cc1
ZINC000003842872,CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
ZINC000003875039,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
ZINC000003861133,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43
ZINC000003871698,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
ZINC000017187167,Cc1cn([C@@H]2C[C@@H](N)[C@@H](CO)O2)c(=O)[nH]c1=O
ZINC000017187171,Cc1cn([C@@H]2C[C@H](N)[C@@H](CO)O2)c(=O)[nH]c1=O
ZINC000003830428,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12
ZINC000003830949,CC[C@@H](Cc1c(I)cc(I)c(N)c1I)C(=O)O
ZINC000013831819,OCCOC[C@H]1O[C@H](OCCO)[C@H](OCCO)[C@@H](OCCO)[C@@H]1OCCO
ZINC000003873364,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@@H]1[C@@H]3CC[C@@](C)(O)[C@@]3(C)CC[C@H]12
