smiles,Is Drug
CC(N)C1CN(c2nscc2O)C(=N)CN1C,0
N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,1
CCC1C(C)C1(N)C1=CC2NCC1C2(C)O,0
CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,1
COc1cccc2c1OC[C@H](NC(=O)Cc1coc3ccccc13)C2,0
COc1cc(C(=O)O[C@@H](C)c2nc(-c3cccnc3)no2)ccc1C,0
CC(C)[C@H](O)c1ccc([C@@H](C)C(=O)O)cc1,1
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1
C[C@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C,1
CC1OC2(C(N)=O)CC1C1(N)CC2OCC1N,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,1
C#Cc1cc2c(o1)C(CC#N)N1CC2C1,0
COc1ccccc1OC[C@H](O)COC(N)=O,1
COc1cccc(CNC(=O)c2cn[nH]c2-c2cccs2)c1,0
CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1
CCCC12CC(=C3CNC3)C(CC1C)N2C,0
CC(C)c1nc(C(C)C)c(OCCN)c(=N)o1,0
CC(C)N(C)C(=O)c1cnc(Cl)nc1,0
CCCN[C@@H](C)C(=O)Nc1ccccc1C,1
Cc1nc2c3[nH]c(=O)oc3cc(=N)n2c(=O)s1,0
O=C1[C@@H]2CC3C[C@@H]1CC(O)(C3)C2,1
CCC(=O)OC1C(O)C2(CN)CC1(C)N=CO2,0
O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1
CC/C(=C(\c1ccc(OCCN(C)C)cc1)c1ccc(O[C@H]2O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]2O)cc1)c1ccccc1,1
CCCc1cnc(-n2cnnc2)c(N(C)C)n1,0
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1
C#CC12CCC3OC(C=C(C#N)C1N)C32C,0
C#CC(O)(C(C)CN)C(C#N)(CN)CO,0
O=C(O)CNC(=O)c1ccccc1,1
COc1ccc(C(=O)Oc2ccc(-c3csnn3)cc2)cc1,0
